"Year","Quarter","ID","Nowcast","Q1_aheadfc","Q2_aheadfc","Q3_aheadfc","Q4_aheadfc","dateQ","Date_number"
1981,4,13,"14.8","14.7","15","14.5","14","1981Q4",2
1981,4,14,"#N/A","#N/A","#N/A","#N/A","#N/A","1981Q4",2
1981,4,16,"11","9","11","14","16","1981Q4",2
1981,4,18,"12.8","10.8","9.8","9.9","10.5","1981Q4",2
1981,4,19,"11.8","11","12","13.5","14","1981Q4",2
1981,4,20,"14","14","13","14","13","1981Q4",2
1981,4,21,"#N/A","#N/A","#N/A","#N/A","#N/A","1981Q4",2
1981,4,23,"14.7","14","13.5","13","12.5","1981Q4",2
1981,4,25,"11.4","10","9","8.5","9","1981Q4",2
1981,4,30,"14.2","14","14","13.5","13","1981Q4",2
1981,4,31,"11.7","10.5","10","10","11","1981Q4",2
1981,4,35,"12.5","12.7","13","14.5","14.5","1981Q4",2
1981,4,36,"#N/A","#N/A","#N/A","#N/A","#N/A","1981Q4",2
1981,4,39,"11.5","9","10","12.5","14","1981Q4",2
1981,4,40,"13.75","12.75","12.5","13.25","13.75","1981Q4",2
1981,4,41,"13","11","10","10","10","1981Q4",2
1981,4,42,"11.9","10","10","11","13","1981Q4",2
1981,4,44,"#N/A","#N/A","#N/A","#N/A","#N/A","1981Q4",2
1981,4,47,"12.5","10.3","11","12","13","1981Q4",2
1981,4,53,"11.5","9","10","12.5","14","1981Q4",2
1981,4,54,"#N/A","#N/A","#N/A","#N/A","#N/A","1981Q4",2
1981,4,58,"11.8","14","14.7","12.9","12.6","1981Q4",2
1981,4,62,"11","9","10","10","10","1981Q4",2
1981,4,63,"14.4","13.75","13.5","13.75","14.23","1981Q4",2
1981,4,66,"#N/A","#N/A","#N/A","#N/A","#N/A","1981Q4",2
1981,4,67,"11.5","10","12","11.5","11","1981Q4",2
1981,4,68,"11.15","9.78","10.75","12.5","13.6","1981Q4",2
1981,4,69,"#N/A","#N/A","#N/A","#N/A","#N/A","1981Q4",2
1981,4,70,"11","9","13","14","14","1981Q4",2
1981,4,72,"#N/A","#N/A","#N/A","#N/A","#N/A","1981Q4",2
1981,4,74,"11.4","10.2","9.5","12.3","14.6","1981Q4",2
1981,4,75,"11","11","11","12","12","1981Q4",2
1981,4,76,"#N/A","#N/A","#N/A","#N/A","#N/A","1981Q4",2
1981,4,79,"13","10.5","10","10.5","11.2","1981Q4",2
1981,4,80,"12.7","12.3","13","13.7","13.4","1981Q4",2
1981,4,82,"11.6","9.25","8.7","8.7","8.85","1981Q4",2
1981,4,84,"11.5","11","12","14","16","1981Q4",2
1981,4,88,"#N/A","#N/A","#N/A","#N/A","#N/A","1981Q4",2
1981,4,89,"8.5","7","6.5","6.5","7","1981Q4",2
1981,4,96,"12.4","11.1","11.2","11.6","12.6","1981Q4",2
1981,4,97,"13","12.5","11.3","10.2","9","1981Q4",2
1982,1,3,"12.6","11","10.6","10.9","11.1","1982Q1",3
1982,1,5,"#N/A","#N/A","#N/A","#N/A","#N/A","1982Q1",3
1982,1,9,"15","12","12","11","11","1982Q1",3
1982,1,16,"13.5","13","12.8","12.5","12.5","1982Q1",3
1982,1,19,"12.5","11","12","12.5","13.5","1982Q1",3
1982,1,21,"#N/A","#N/A","#N/A","#N/A","#N/A","1982Q1",3
1982,1,23,"12.5","11.9","11.5","10.9","10.5","1982Q1",3
1982,1,27,"13","13.5","14","14.25","18","1982Q1",3
1982,1,30,"14.5","15.1","15","13","12.5","1982Q1",3
1982,1,31,"13","11.8","10.5","9.5","9.3","1982Q1",3
1982,1,35,"13.2","13.4","14","13.6","#N/A","1982Q1",3
1982,1,36,"14","13","12","11","11.5","1982Q1",3
1982,1,40,"13.5","13.1","13.1","13.2","13.5","1982Q1",3
1982,1,41,"#N/A","#N/A","#N/A","#N/A","#N/A","1982Q1",3
1982,1,47,"13.5","14","13","12.5","14","1982Q1",3
1982,1,53,"13.3","12.5","13","14","14","1982Q1",3
1982,1,58,"12.8","13.2","12.3","11.8","11.6","1982Q1",3
1982,1,60,"12.5","11.2","10.4","10.4","10.3","1982Q1",3
1982,1,61,"12.6","11.8","11.6","11.3","10.4","1982Q1",3
1982,1,62,"#N/A","#N/A","#N/A","#N/A","#N/A","1982Q1",3
1982,1,63,"12","11.8","12","12.2","12.8","1982Q1",3
1982,1,65,"12.5","10.1","10.6","9.6","9.4","1982Q1",3
1982,1,67,"12.5","11.5","12","11.7","11","1982Q1",3
1982,1,68,"12.8","12.3","12.6","13.5","14","1982Q1",3
1982,1,69,"12","11","11.5","12.5","#N/A","1982Q1",3
1982,1,70,"13","12.2","13.5","14.7","15.2","1982Q1",3
1982,1,72,"13.5","12","11","11.75","11","1982Q1",3
1982,1,75,"11.75","10.5","10","11","10.5","1982Q1",3
1982,1,78,"11.97","11.05","11.44","12.4","12.03","1982Q1",3
1982,1,79,"13.4","12.9","12.9","14","14.4","1982Q1",3
1982,1,83,"#N/A","#N/A","#N/A","#N/A","#N/A","1982Q1",3
1982,1,86,"13.25","14","14.5","12","11.3","1982Q1",3
1982,1,87,"#N/A","#N/A","#N/A","#N/A","#N/A","1982Q1",3
1982,1,88,"#N/A","#N/A","#N/A","#N/A","#N/A","1982Q1",3
1982,1,90,"12.3","11.4","12","12.5","11.9","1982Q1",3
1982,2,3,"12","10.2","10.3","10.8","11","1982Q2",4
1982,2,4,"12.7","12.5","12.7","12.3","12.4","1982Q2",4
1982,2,5,"#N/A","#N/A","#N/A","#N/A","#N/A","1982Q2",4
1982,2,9,"12.9","11","11","10","9","1982Q2",4
1982,2,10,"#N/A","#N/A","#N/A","#N/A","#N/A","1982Q2",4
1982,2,12,"#N/A","#N/A","#N/A","#N/A","#N/A","1982Q2",4
1982,2,13,"12","12","12.3","12","11.9","1982Q2",4
1982,2,15,"13.75","14.25","15","14","13","1982Q2",4
1982,2,16,"11.9","11","10","10","9.5","1982Q2",4
1982,2,19,"12.3","12.1","12.1","12.2","12.2","1982Q2",4
1982,2,20,"11.5","11.4","12.4","11.6","11.5","1982Q2",4
1982,2,30,"12","11.7","12.2","12.4","12.6","1982Q2",4
1982,2,31,"12.3","10.5","9.5","9.25","9","1982Q2",4
1982,2,33,"11.5","10.5","11.5","12.5","11.5","1982Q2",4
1982,2,35,"12.2","12","12.8","12.2","11.5","1982Q2",4
1982,2,40,"12.44","12.25","12.5","12.8","12.83","1982Q2",4
1982,2,41,"#N/A","#N/A","#N/A","#N/A","#N/A","1982Q2",4
1982,2,46,"12","11","10.5","10","11","1982Q2",4
1982,2,47,"13.2","12.2","12","12.2","12.5","1982Q2",4
1982,2,51,"12.1","12","12.2","12.4","12.4","1982Q2",4
1982,2,53,"12.5","11.8","12","13","12.5","1982Q2",4
1982,2,58,"12.6","12.3","11.8","11.6","11.4","1982Q2",4
1982,2,60,"12.2","11.9","12","11.7","10.9","1982Q2",4
1982,2,62,"11","10","9","9","9","1982Q2",4
1982,2,63,"12.3","12.3","12.5","13.2","13.6","1982Q2",4
1982,2,65,"12.8","12.8","12","11.8","11.5","1982Q2",4
1982,2,66,"#N/A","#N/A","#N/A","#N/A","#N/A","1982Q2",4
1982,2,67,"12.2","12.4","12.6","12","11.5","1982Q2",4
1982,2,68,"12","11.6","12","12.2","12.2","1982Q2",4
1982,2,69,"12.7","12.3","12.5","12","11.5","1982Q2",4
1982,2,70,"12.4","13","14","14.8","15.4","1982Q2",4
1982,2,72,"12.5","10","11","11.7","12.1","1982Q2",4
1982,2,74,"12.8","12.4","12.5","13.1","13","1982Q2",4
1982,2,75,"11.5","10.5","10.5","10.5","10.5","1982Q2",4
1982,2,78,"11.6","11.2","11.5","12.3","11.5","1982Q2",4
1982,2,79,"12.3","11.6","12.3","12.6","12.2","1982Q2",4
1982,2,80,"12","11.4","11.7","12.2","11.4","1982Q2",4
1982,2,83,"#N/A","#N/A","#N/A","#N/A","#N/A","1982Q2",4
1982,2,84,"12.5","14","15","13","11","1982Q2",4
1982,2,88,"12.1","11.8","11.7","12.3","10.5","1982Q2",4
1982,2,92,"12.4","11.6","12","12.4","12.5","1982Q2",4
1982,2,93,"12.2","11.6","11.9","11.9","11.5","1982Q2",4
1982,3,3,"9.9","8.7","8.5","8.8","9.1","1982Q3",5
1982,3,5,"10.5","8.5","8.7","9","9.2","1982Q3",5
1982,3,9,"9","9","9.5","9","9","1982Q3",5
1982,3,16,"10","9","9","10","10","1982Q3",5
1982,3,19,"9","7.8","8.5","9.2","10","1982Q3",5
1982,3,20,"12","12.1","12","11.6","12","1982Q3",5
1982,3,21,"11.8","13","14","14","14.4","1982Q3",5
1982,3,23,"11.6","11","10.5","10.5","10.5","1982Q3",5
1982,3,25,"#N/A","#N/A","#N/A","#N/A","#N/A","1982Q3",5
1982,3,27,"11.2","11.5","11.5","12","12","1982Q3",5
1982,3,30,"11.6","12","12.4","12.6","12.8","1982Q3",5
1982,3,33,"8","7.5","7.25","7.25","7.25","1982Q3",5
1982,3,35,"#N/A","#N/A","#N/A","#N/A","#N/A","1982Q3",5
1982,3,36,"11.5","10.5","11","11.5","12","1982Q3",5
1982,3,39,"10","9.5","10","10.5","11","1982Q3",5
1982,3,43,"10.5","9.5","8.5","8","8.5","1982Q3",5
1982,3,47,"10","8","10","10.8","11.2","1982Q3",5
1982,3,51,"9.1","9","8.9","8.8","8.8","1982Q3",5
1982,3,56,"9.5","8","8.5","9.5","10.5","1982Q3",5
1982,3,58,"11.7","11","10.3","9.7","9.1","1982Q3",5
1982,3,59,"12","12.2","12.5","13","13.5","1982Q3",5
1982,3,60,"11","10.5","10.6","10.5","10.4","1982Q3",5
1982,3,61,"11.5","11.6","12","11.2","10.8","1982Q3",5
1982,3,62,"9.5","9","9.5","8.5","8.5","1982Q3",5
1982,3,65,"10.7","11.1","11.7","11","11.1","1982Q3",5
1982,3,66,"9.7","9.2","9.5","9.5","10.2","1982Q3",5
1982,3,68,"9","8.4","9.25","9.8","10.3","1982Q3",5
1982,3,69,"10.2","9.8","10.5","10.7","11","1982Q3",5
1982,3,70,"8.5","9","10","11.2","12.5","1982Q3",5
1982,3,72,"11","10.5","11","#N/A","#N/A","1982Q3",5
1982,3,75,"10.5","11","10.5","10","10","1982Q3",5
1982,3,78,"8.43","8.33","10.64","10.42","9.58","1982Q3",5
1982,3,79,"10.5","10.6","10.8","11","11.3","1982Q3",5
1982,3,80,"10.5","10.3","11.6","10.6","10.1","1982Q3",5
1982,3,84,"10","7","8","8","7","1982Q3",5
1982,3,86,"10.7","11.4","11.2","10.6","10.3","1982Q3",5
1982,3,87,"#N/A","#N/A","#N/A","#N/A","#N/A","1982Q3",5
1982,3,89,"#N/A","#N/A","#N/A","#N/A","#N/A","1982Q3",5
1982,3,92,"10","8.8","9","9.3","9.6","1982Q3",5
1982,3,94,"#N/A","#N/A","#N/A","#N/A","#N/A","1982Q3",5
1982,3,95,"10","9.5","10","10.5","11","1982Q3",5
1982,3,96,"9.4","9.8","11.1","10.8","9.9","1982Q3",5
1982,3,97,"9","7.2","7.2","7.1","7","1982Q3",5
1982,4,5,"7.8","8.5","8.9","8.3","8.6","1982Q4",6
1982,4,9,"7.7","7.8","8","8","7.6","1982Q4",6
1982,4,12,"#N/A","#N/A","#N/A","#N/A","#N/A","1982Q4",6
1982,4,13,"9.5","9.4","9.2","9","8.9","1982Q4",6
1982,4,19,"7.7","6.6","6.1","6.5","7","1982Q4",6
1982,4,21,"9.9","10","10.9","11","11.3","1982Q4",6
1982,4,23,"8","7","7","7","7","1982Q4",6
1982,4,30,"9.09","8.7","8.5","8.2","7.8","1982Q4",6
1982,4,31,"8","8.75","8.25","8","7.75","1982Q4",6
1982,4,33,"8.3","7.5","7.5","7.8","8","1982Q4",6
1982,4,35,"7.9","9.3","9.1","8.5","9.2","1982Q4",6
1982,4,39,"8.2","8","8.25","8.5","8.75","1982Q4",6
1982,4,40,"7.87","9.15","7.93","7.96","7.69","1982Q4",6
1982,4,41,"#N/A","#N/A","#N/A","#N/A","#N/A","1982Q4",6
1982,4,43,"8","7.5","7","7.5","8.5","1982Q4",6
1982,4,46,"7.8","7.5","7.5","8","8.5","1982Q4",6
1982,4,47,"8","8.3","8.5","8.8","9","1982Q4",6
1982,4,51,"7.9","7.8","7.7","7.6","7.5","1982Q4",6
1982,4,58,"9.7","9.6","9.5","9.1","8.6","1982Q4",6
1982,4,59,"9.5","9","9.5","10","11","1982Q4",6
1982,4,60,"7.9","7.7","7.6","7.4","7.4","1982Q4",6
1982,4,61,"7.46","9.46","10.5","9.58","8.81","1982Q4",6
1982,4,62,"8","7","7","7","7","1982Q4",6
1982,4,66,"7.6","7","7","7.3","7.8","1982Q4",6
1982,4,67,"7.8","8","8","7.5","7","1982Q4",6
1982,4,68,"7.6","7.9","8.5","8.8","9","1982Q4",6
1982,4,69,"7.7","8","8","8.5","9","1982Q4",6
1982,4,70,"7.85","7.5","8","9.5","9.5","1982Q4",6
1982,4,72,"7.75","7","6.75","7","7.5","1982Q4",6
1982,4,74,"#N/A","#N/A","#N/A","#N/A","#N/A","1982Q4",6
1982,4,75,"8","8","8","9","9","1982Q4",6
1982,4,79,"7.9","8","8","7.7","7.6","1982Q4",6
1982,4,84,"8","7.7","7.5","7.3","7.5","1982Q4",6
1982,4,87,"7.5","7","6.2","6","6","1982Q4",6
1982,4,92,"7.5","7.2","8","8.4","8.9","1982Q4",6
1982,4,94,"7.5","8.7","9","8.5","8.6","1982Q4",6
1982,4,95,"7.4","7","7","7.5","8","1982Q4",6
1982,4,96,"7.5","7.6","9.6","9.9","9.8","1982Q4",6
1983,1,5,"7.2","7.3","7.7","7.9","8","1983Q1",7
1983,1,9,"8.1","8.2","8.5","8.5","8","1983Q1",7
1983,1,12,"8.7","8.7","9","8.5","8","1983Q1",7
1983,1,16,"7.9","7.5","7.5","8","8.5","1983Q1",7
1983,1,18,"8.04","7.89","8.07","8.51","8.89","1983Q1",7
1983,1,19,"8.2","7.8","7.8","7.8","7.8","1983Q1",7
1983,1,21,"8.4","8.51","8.6","8.65","8.7","1983Q1",7
1983,1,30,"8.05","8.1","8.2","8.3","8.35","1983Q1",7
1983,1,35,"7.5","7.7","8","8","7.5","1983Q1",7
1983,1,40,"7.97","7.48","7.53","7.42","7.31","1983Q1",7
1983,1,41,"#N/A","#N/A","#N/A","#N/A","#N/A","1983Q1",7
1983,1,42,"7.9","7.5","7","7.25","7.5","1983Q1",7
1983,1,43,"7.5","7","7.5","8","8.25","1983Q1",7
1983,1,47,"7.3","7.8","8.3","8.7","8.9","1983Q1",7
1983,1,51,"7.6","7.5","7.5","7.5","7.5","1983Q1",7
1983,1,53,"7.75","7.5","7.5","7.75","8","1983Q1",7
1983,1,58,"8.5","9","10.5","9.5","9","1983Q1",7
1983,1,60,"7.4","7.2","6.8","6.7","6.8","1983Q1",7
1983,1,61,"7.2","7","7.1","7.4","7.8","1983Q1",7
1983,1,62,"7.9","7.5","7.4","7.3","7.2","1983Q1",7
1983,1,65,"8.3","9.3","8.5","7.5","#N/A","1983Q1",7
1983,1,66,"7.9","8","8.3","8.3","8","1983Q1",7
1983,1,67,"7.9","7","6.5","7","#N/A","1983Q1",7
1983,1,69,"7.7","7.5","8","8.5","#N/A","1983Q1",7
1983,1,70,"7.85","8.3","9.5","9.5","8.5","1983Q1",7
1983,1,78,"7.85","7.31","7.33","7.56","8.1","1983Q1",7
1983,1,79,"7.9","8.1","8.3","8.5","8.4","1983Q1",7
1983,1,80,"7.2","7.4","7.7","7.7","7.6","1983Q1",7
1983,1,82,"7.8","7.5","7.5","7.6","7.8","1983Q1",7
1983,1,84,"8","7.5","7.5","8","8.25","1983Q1",7
1983,1,87,"7.5","7","6.5","7","7.5","1983Q1",7
1983,1,88,"#N/A","#N/A","#N/A","#N/A","#N/A","1983Q1",7
1983,1,89,"8","7.25","8","9","#N/A","1983Q1",7
1983,1,92,"8.2","8","8.3","8.6","8.8","1983Q1",7
1983,1,93,"7.8","7.4","7.6","8.3","9.2","1983Q1",7
1983,1,94,"7.7","7.45","7.4","7.55","7.65","1983Q1",7
1983,1,98,"#N/A","#N/A","#N/A","#N/A","#N/A","1983Q1",7
1983,1,99,"7.68","7.38","6.94","7.08","6.83","1983Q1",7
1983,2,5,"8","7.75","7.9","8.1","8.3","1983Q2",8
1983,2,9,"8.5","8.4","8.2","8.2","8.5","1983Q2",8
1983,2,12,"8.2","8.3","8.2","8.1","7.9","1983Q2",8
1983,2,13,"8.2","8.2","8.1","8","7.9","1983Q2",8
1983,2,16,"8.1","7.9","7.8","7.9","8","1983Q2",8
1983,2,19,"8","8","8","8","8","1983Q2",8
1983,2,21,"8.11","8.15","8.2","8.22","8.3","1983Q2",8
1983,2,23,"8.07","7.85","7.83","7.67","7.56","1983Q2",8
1983,2,25,"8.1","8.1","8.2","8.5","8.7","1983Q2",8
1983,2,30,"8.1","8.25","8.4","8.6","8.8","1983Q2",8
1983,2,31,"8.25","7.5","7","7","7.5","1983Q2",8
1983,2,33,"7.5","7.4","7.5","8","8.4","1983Q2",8
1983,2,35,"8.2","8","7.8","7.5","7.3","1983Q2",8
1983,2,36,"9.1","9.4","9.8","10","10","1983Q2",8
1983,2,39,"8.1","7.9","8","8.2","8.3","1983Q2",8
1983,2,40,"8","7.8","7.6","7.4","7.3","1983Q2",8
1983,2,41,"#N/A","#N/A","#N/A","#N/A","#N/A","1983Q2",8
1983,2,43,"7.5","7.5","8","8.3","8","1983Q2",8
1983,2,47,"8.12","8.2","8.4","8.62","8.81","1983Q2",8
1983,2,53,"8","7.75","8","8.25","8.5","1983Q2",8
1983,2,55,"6.98","6.79","6.95","7.61","7.82","1983Q2",8
1983,2,60,"7.9","7.5","7.2","7","6.9","1983Q2",8
1983,2,62,"7.8","7.5","7","7","7","1983Q2",8
1983,2,63,"8.15","8.25","8.33","8.4","8.45","1983Q2",8
1983,2,66,"8.4","8.7","8.7","8.5","8","1983Q2",8
1983,2,67,"8.1","7.8","7.9","7.7","7.5","1983Q2",8
1983,2,68,"8.23","8","8.1","8.5","8.5","1983Q2",8
1983,2,70,"8.5","9.5","9.5","8.7","9","1983Q2",8
1983,2,72,"7.75","7.75","7.5","7.5","7.25","1983Q2",8
1983,2,74,"8.2","7.9","8.1","8.3","8.1","1983Q2",8
1983,2,75,"8","7.5","7","7.3","7.5","1983Q2",8
1983,2,78,"7.96","7.65","7.84","8.25","8.15","1983Q2",8
1983,2,79,"8.1","8.3","8.4","7.9","7.8","1983Q2",8
1983,2,80,"7.8","7.6","7.6","7.7","7.4","1983Q2",8
1983,2,82,"7.9","7.25","7","7.1","7.25","1983Q2",8
1983,2,87,"7.7","7.4","6.9","7.1","7.3","1983Q2",8
1983,2,89,"8","8","8.5","#N/A","#N/A","1983Q2",8
1983,2,93,"8.3","7.8","8","8.5","9.1","1983Q2",8
1983,2,94,"8.1","8","7.7","7.4","7.8","1983Q2",8
1983,2,99,"8.28","8.05","8.34","8.24","8.01","1983Q2",8
1983,3,5,"#N/A","#N/A","#N/A","#N/A","#N/A","1983Q3",9
1983,3,9,"8.2","8.2","8.2","8.5","8.4","1983Q3",9
1983,3,12,"8.8","8","8.6","8.5","8.3","1983Q3",9
1983,3,13,"8.4","8.3","8.3","8.2","8.1","1983Q3",9
1983,3,16,"8.75","8.4","8.4","8.5","8.9","1983Q3",9
1983,3,19,"9","9.3","9","9","9","1983Q3",9
1983,3,20,"9.03","9.4","9","8.4","8.9","1983Q3",9
1983,3,23,"8.3","8.3","8.2","8.1","8.1","1983Q3",9
1983,3,27,"9","9.25","9","9","9","1983Q3",9
1983,3,30,"9.43","9.92","10.2","10.4","10.6","1983Q3",9
1983,3,35,"9.1","7.8","7.5","7.3","6.3","1983Q3",9
1983,3,40,"9.37","9.45","9.37","9.11","8.86","1983Q3",9
1983,3,43,"9.3","9","8.8","8.3","8","1983Q3",9
1983,3,47,"9","9.2","9.4","9.65","10","1983Q3",9
1983,3,60,"9.2","8.8","8.3","7.8","7.4","1983Q3",9
1983,3,62,"9.5","9.3","9","8.7","8.5","1983Q3",9
1983,3,65,"9.15","8.9","8.4","8.65","8.9","1983Q3",9
1983,3,66,"9.4","9.8","9.3","9","9","1983Q3",9
1983,3,67,"9.25","8.75","8.4","8.3","8.2","1983Q3",9
1983,3,68,"9.2","9.35","9.25","9.4","9.6","1983Q3",9
1983,3,70,"9.3","10.5","10","9.2","10","1983Q3",9
1983,3,72,"8.75","8","7.75","7.5","7.5","1983Q3",9
1983,3,79,"8.89","8.6","9","9.2","9.5","1983Q3",9
1983,3,80,"9.2","9.4","9.8","9.4","8.9","1983Q3",9
1983,3,82,"9.05","8.7","8.25","8.05","8.2","1983Q3",9
1983,3,84,"9.3","9.8","10.3","10.5","11","1983Q3",9
1983,3,89,"9.5","9.5","10","10.5","11","1983Q3",9
1983,3,94,"9.3","8.9","8.8","8.7","9.1","1983Q3",9
1983,3,95,"9.5","9.75","9.5","9.25","9.5","1983Q3",9
1983,3,98,"9","9","8.5","8","8.25","1983Q3",9
1983,3,99,"9.62","9.05","8.79","8.38","8.43","1983Q3",9
1983,3,100,"9.21","9.41","9.55","9.39","9.01","1983Q3",9
1983,4,5,"8.92","8.8","8.5","8.3","8.5","1983Q4",10
1983,4,9,"#N/A","#N/A","#N/A","#N/A","#N/A","1983Q4",10
1983,4,10,"#N/A","#N/A","#N/A","#N/A","#N/A","1983Q4",10
1983,4,12,"9.1","9","8.9","8.7","8.8","1983Q4",10
1983,4,13,"8.9","8.6","8.5","8.3","8.1","1983Q4",10
1983,4,16,"9","8.6","9","9.2","9.3","1983Q4",10
1983,4,19,"8.87","9","9","9","9","1983Q4",10
1983,4,23,"9.3","9","8.8","8.7","8.6","1983Q4",10
1983,4,25,"9.2","9","9.2","9.4","9.6","1983Q4",10
1983,4,30,"9.25","9.45","9.6","9.78","10","1983Q4",10
1983,4,31,"8.5","8","8.25","9","10","1983Q4",10
1983,4,35,"8.5","7.8","7.1","7.3","7.6","1983Q4",10
1983,4,39,"8.8","8.6","8.6","8.9","9.3","1983Q4",10
1983,4,40,"8.67","8.44","8.16","7.96","7.95","1983Q4",10
1983,4,41,"#N/A","#N/A","#N/A","#N/A","#N/A","1983Q4",10
1983,4,43,"8.6","8.5","8.3","8","8","1983Q4",10
1983,4,44,"8.86","9.04","9.16","9.32","9.61","1983Q4",10
1983,4,47,"8.91","9.2","9.4","9.6","9.9","1983Q4",10
1983,4,51,"9","8.9","8.8","8.7","8.6","1983Q4",10
1983,4,60,"8.8","8.6","8.4","8.1","7.8","1983Q4",10
1983,4,61,"8.5","8.5","8.7","8.9","9.2","1983Q4",10
1983,4,62,"8.5","7","7","7","6","1983Q4",10
1983,4,66,"8.9","9.3","9","8.9","9.5","1983Q4",10
1983,4,67,"8.7","8.5","8.3","8.6","8.6","1983Q4",10
1983,4,70,"8.8","9","9.2","10","11","1983Q4",10
1983,4,74,"#N/A","#N/A","#N/A","#N/A","#N/A","1983Q4",10
1983,4,79,"8.6","8.6","9","9.2","9.5","1983Q4",10
1983,4,80,"8.8","8.7","8.3","7.9","8","1983Q4",10
1983,4,82,"8.5","8.2","7.95","8","8.3","1983Q4",10
1983,4,84,"8.75","9.1","9.4","9.7","10.2","1983Q4",10
1983,4,87,"#N/A","#N/A","#N/A","#N/A","#N/A","1983Q4",10
1983,4,89,"8.8","9.25","9.75","10.25","10.75","1983Q4",10
1983,4,90,"8.7","8.3","8.3","8.5","8.7","1983Q4",10
1983,4,94,"8.8","9","8.7","8.5","8.8","1983Q4",10
1983,4,95,"8.6","8.5","8.5","9","9.5","1983Q4",10
1983,4,98,"8.5","8.2","8.1","8.25","8.55","1983Q4",10
1983,4,99,"8.8","8.6","8.3","8.1","8.1","1983Q4",10
1984,1,2,"8.75","8.65","8.37","8.73","9.08","1984Q1",11
1984,1,9,"9","9.2","9","8.8","8.6","1984Q1",11
1984,1,12,"9.1","8.9","8.9","9","9.1","1984Q1",11
1984,1,13,"8.6","8.5","8.6","8.7","8.7","1984Q1",11
1984,1,19,"8.92","8.9","8.9","9","9.2","1984Q1",11
1984,1,20,"8.81","8.84","8.9","8.91","8.7","1984Q1",11
1984,1,30,"9.15","9.25","9.55","10","10.5","1984Q1",11
1984,1,35,"#N/A","#N/A","#N/A","#N/A","#N/A","1984Q1",11
1984,1,36,"9","8.8","8.7","8.6","8.7","1984Q1",11
1984,1,39,"9.1","9.2","9.3","9.5","10","1984Q1",11
1984,1,40,"8.93","8.89","8.86","8.83","8.81","1984Q1",11
1984,1,41,"#N/A","#N/A","#N/A","#N/A","#N/A","1984Q1",11
1984,1,43,"8.75","8.25","8","8.25","8.5","1984Q1",11
1984,1,47,"8.8","8.9","9","9.3","9.5","1984Q1",11
1984,1,53,"8.8","8.5","8.75","9","9.25","1984Q1",11
1984,1,60,"8.7","8.6","8.4","8.3","8.3","1984Q1",11
