"ID","Date_Number","Q4Ahead_error","Lag_Q4Ahead_error"
439,59,-0.19,-2.57
439,68,-1.146666667,-0.273333333
439,69,-0.949999999999999,-0.676666667
439,72,0.713333333,-1.146666667
439,85,-1.89,-1.656666667
442,63,-0.00666666699999929,0.81
442,67,-0.613333333,-0.00666666699999929
446,52,0.196666667,0.686666667
446,67,-0.593333333,0.0533333330000003
446,68,-0.646666667,-0.323333333
446,69,0.25,-0.176666667
446,76,-3.04,1.113333333
446,77,-3.23,1.216666667
446,78,-4.093333333,0.816666667
446,82,-1.866666667,-4.093333333
446,83,-2.043333333,-2.58
446,84,-2.36,-2.086666667
446,91,1.036666667,-1.483333333
446,92,0.463333333,-0.823333333
446,93,0.26,-0.113333333
446,146,0.496666667,-0.0109333330000001
446,147,0.176666667,0.1584
446,148,-0.4407,0.0150000000000001
448,89,0.436666667,-2.57
448,90,0.506666667,-1.833333333
451,55,-1.07,1.736666667
451,56,-0.98,1.396666667
451,57,-0.903333333,0.566666667
451,60,0.446666667000001,-0.98
451,61,0.0466666670000002,-0.903333333
452,62,NA,-0.623333333
452,63,0.253333333,0.96
452,64,-0.123333333,NA
456,66,-1.646666667,NA
456,67,-1.293333333,NA
456,68,NA,NA
456,84,NA,-1.686666667
456,85,NA,NA
456,88,0.176666667,NA
456,91,1.436666667,-0.233333333
456,92,0.763333333,0.176666667
456,118,-0.136666667,-0.013333333
456,119,-0.183333333,0.076666667
456,122,NA,-0.136666667
456,123,0.086666667,-0.183333333
456,125,0.033333333,-0.046666667
456,149,-1.045,0.0150000000000001
458,63,-1.446666667,-0.69
458,69,-1.1,-1.726666667
458,70,-0.206666667,-2.046666667
458,71,0.0199999999999996,-1.593333333
458,74,-0.233333333,-0.206666667
462,64,-0.553333333,0.306666667
462,65,NA,-0.383333332999999
462,66,-0.676666667,-0.33
462,70,1.273333333,-0.676666667
462,71,1.14,NA
463,90,0.506666667,-3.083333333
463,91,0.636666667,-1.083333333
463,92,0.763333333,-0.923333333
463,120,-1.413333333,-1.453333333
463,121,-0.496666667,-0.926666667
463,122,-0.013333333,-0.586666667
463,124,-0.45,-1.413333333
463,125,-0.566666667,-0.496666667
463,126,-0.386666667,-0.013333333
463,140,-0.16,-1.264233333
463,141,0.141066667,-0.950433333
463,142,0.106666667,-0.2189
464,67,-0.593333333,NA
464,75,-0.883333333,0.72
465,69,-0.0999999999999996,-0.176666667
465,73,1.516666667,-0.0999999999999996
465,78,-3.743333333,1.116666667
465,79,-2.78,-1.233333333
465,80,-2.686666667,-2.21
465,83,-1.843333333,-2.78
465,84,-1.83,-2.686666667
465,85,-1.62,-2.256666667
466,73,1.016666667,-0.85
466,74,0.366666667,0.243333333
469,69,-0.35,-0.376666667
469,70,0.443333333,-0.846666667
469,71,0.42,-0.693333333
470,69,-0.5,-1.076666667
470,70,0.583333333,-1.646666667
470,73,1.106666667,-0.5
470,74,NA,0.583333333
472,79,-3.43,NA
472,80,-2.576666667,-2.07
472,96,0.501333333,-0.586666667
472,120,-0.981533333,-0.770033333
472,121,-0.446666667,-0.527366667
472,122,0.046666667,-0.593666667
472,125,-0.056666667,-0.446666667
472,126,-0.036666667,0.046666667
472,127,-0.083333333,0.076666667
472,145,0.19,0.486666667
472,146,0.536666667,-0.233333333
472,147,0.256666667,0.03
475,71,0.73,-0.943333333
475,72,0.913333333,-0.796666667
475,73,1.016666667,-0.52
475,76,-2.88,0.913333333
475,77,-2.08,1.016666667
475,78,-3.593333333,0.716666667
481,62,-0.46,-0.623333333
481,63,-0.446666667,0.26
481,64,-0.623333333,-0.113333333
483,68,-1.196666667,-0.123333333
483,69,-0.0499999999999998,-0.176666667
483,85,-0.77,-1.106666667
483,87,-1.033333333,-0.543333333
483,88,-0.583333333,-0.91
483,89,-0.173333333,-0.77
483,91,0.726666667,-1.033333333
483,92,0.803333333,-0.583333333
483,93,1.053,-0.173333333
484,60,-0.153333333,-0.0300000000000002
484,62,-0.21,-0.723333333
484,63,-0.496666667,-0.340000000000001
484,64,-0.573333333,-0.153333333
484,79,-3.92,-0.533333333
484,80,-3.456666667,-1.91
484,81,-2.186666667,NA
484,83,-0.963333333,-3.92
484,84,-1.2,-3.456666667
484,85,-1.09,-2.186666667
484,87,-0.723333333,-0.963333333
484,88,-0.333333333,-1.2
484,89,0.186666667,-1.09
484,93,1.71,0.186666667
484,94,1.326666667,0.406666667
484,95,1.793333333,1.536666667
484,97,1.406666667,1.71
484,98,1.253333333,1.326666667
484,99,0.673333333,1.793333333
484,114,-0.413333333,-0.643333333
484,115,-0.323333333,-0.693333333
484,116,-0.453333333,-0.753333333
484,123,-0.013333333,-0.783333333
484,124,-0.05,-0.763333333
484,125,-0.106666667,-0.546666667
484,131,-0.113333333,-0.063333333
