"ID","Date_Number","Q3Ahead_Error","lag2_Q3Ahead_Error"
84,100,-0.516666667,-0.196666667000001
84,101,-1.163333333,-0.593333333
84,108,-1.686666667,-2.873333333
84,109,-1.526666667,-2.006666667
84,112,-0.093333333,-1.526666667
84,113,-0.153333333,-0.443333333
86,24,-1.176666667,0.156666667
87,6,3.14,NA
87,10,NA,1.8
87,11,-0.296666667,2.07
87,13,-4.24,NA
87,16,-1.103333333,-4.24
94,12,-1.716666667,1.096666667
94,15,0.0666666670000007,-1.716666667
94,18,-0.976666667,0.0666666670000007
94,19,-1.146666667,-1.503333333
94,21,-0.123333333000001,-0.976666667
94,22,0.843333332999999,-1.146666667
94,28,2.44,-0.14
94,29,0.81,1.89
94,31,0.153333333,2.44
94,32,0.46,0.81
94,40,-2.106666667,-1.04
94,56,-0.27,0.196666667
94,57,0.52,-0.133333333
94,63,-0.31,-0.340000000000001
94,64,-0.746666667,-0.853333333
94,68,-0.193333333,-0.523333333
94,69,0.153333333,-0.576666667
94,71,0.563333332999999,-0.193333333
94,72,1.14,0.153333333
94,75,0.306666667,1.14
99,28,2.04,-0.0899999999999999
99,35,-1.21,-0.140000000000001
99,40,-2.106666667,-1.64
99,46,-0.296666667,-1.13
99,47,-0.14,-1.34
99,53,0.796666667,0.976666667
99,56,-0.87,0.796666667
99,58,-0.303333333,-0.98
99,71,0.843333332999999,-1.293333333
99,81,-2.186666667,-2.93
99,84,-1.243333333,-2.186666667
99,90,0.286666667,-1.183333333
99,91,0.206666667,-0.983333333
99,94,0.36,0.206666667
99,95,0.426666667,0.636666667
99,98,0.606666667,0.426666667
99,99,0.203333333,0.493333333
99,102,-0.096666667,0.203333333
99,110,-0.943333333,-2.403333333
100,20,-0.263333332999999,-1.76
100,33,-0.253333333,-0.406666667
100,34,-0.273333333,-1.596666667
404,52,1.066666667,0.486666667
404,53,0.176666667,1.026666667
404,73,0.533333333,0.45
405,45,-0.433333333,-1.516666667
405,46,-0.496666667,-1.73
405,48,NA,-0.433333333
405,49,0.586666667,-0.496666667
405,55,-1.54,1.436666667
405,56,-1.97,0.696666667
405,58,-0.203333333,-1.54
405,61,0.146666667,-0.203333333
405,89,-0.823333333,-0.77
405,90,-0.313333333,-0.983333333
405,102,-0.196666667,0.203333333
405,103,-1.01,0.283333333
407,65,-1.023333333,-0.753333333
407,68,-1.393333333,-1.023333333
407,80,-2.38,-2.34
407,81,-2.386666667,-2.63
407,102,-0.196666667,0.403333333
407,106,-2.285666667,-1.283
407,107,-1.803333333,-2.856666667
407,112,-1.318333333,-2.442666667
409,48,-0.906666667000001,-1.183333333
411,42,-2.096666667,-1.12
411,43,-0.73,-2.106666667
411,54,-0.973333333,1.63
411,55,-0.94,1.296666667
411,85,-1.24,-0.956666667
411,92,0.866666667,-0.0933333329999999
411,94,0.49,0.986666667
411,95,0.426666667,0.866666667
411,102,-0.646666667,0.133333333
411,103,-1.55,0.223333333
411,122,-0.076666667,-0.346666667
411,131,-0.078966667,-0.060233333
411,134,-0.19,-0.078966667
414,55,-0.59,1.936666667
414,56,-1.82,1.596666667
414,71,0.743333333,-1.103333333
414,72,0.92,-1.146666667
414,75,-0.0833333329999997,0.92
416,54,0.616666667,1.48
416,55,-0.74,0.986666667
420,43,-0.48,-1.856666667
420,45,-0.133333333,-1.726666667
420,46,-0.246666667,-0.48
420,49,0.606666667,-0.246666667
420,50,0.926666667,-0.19
420,62,0.0466666670000002,-0.0233333330000001
420,63,0.0899999999999999,-0.19
420,72,1.27,-0.796666667
420,73,0.813333332999999,0.15
420,84,-1.643333333,-1.436666667
420,85,-1.61,-0.356666667
420,87,-1.883333333,-1.643333333
420,88,-1.783333333,-1.61
420,92,0.586666667,-0.823333333
420,93,0.563333333,-0.263333333
420,97,0.953333333,0.61
420,98,0.606666667,0.576666667
420,101,-0.0633333330000001,0.606666667
420,102,-0.296666666999999,0.503333333
420,109,-1.826666667,-2.006666667
420,110,-0.943333333,-2.003333333
420,115,-0.363333333,-0.193333333
420,118,-0.176666667,-0.363333333
420,127,-0.006666667,-0.013333333
420,128,-0.053333333,0.02
421,68,-1.343333333,-0.623333333
421,69,-1.196666667,-0.576666667
421,74,0.116666667,0.393333332999999
421,75,0.116666667,0.819999999999999
421,83,-2.466666667,-2.68
421,84,-3.293333333,-2.786666667
421,102,-0.346666667,0.0533333330000003
421,103,-1.21,-0.0666666669999998
421,106,-2.206666667,-1.21
421,107,-2.803333333,-2.256666667
421,114,-1.543333333,-0.543333333
421,115,-2.163333333,-0.493333333
421,127,-0.106666667,-0.163333333
421,128,-0.173333333,-0.17
421,134,-1.18,-0.326666667
421,135,-0.826666667,-0.373333333
421,137,-1.043333333,-1.18
421,138,-0.653333333,-0.826666667
422,46,-0.196666667,-1.73
422,47,-0.74,-2.24
422,104,-2.456666667,0.236666667
422,105,-2.373333333,-0.196666667
422,127,-0.036666667,0.036666667
422,128,-0.053333333,0
423,41,-1.92,-2.073333333
423,57,-0.58,-0.333333333000001
423,60,-0.12,-0.58
423,76,-0.893333333,1.173333333
423,77,-1.94,NA
423,82,-0.616666667,-3.953333333
423,83,-0.206666667,-2.44
423,86,-0.51,-0.206666667
423,97,0.703333333,1.64
423,119,-0.186666667,-0.253333333
423,120,-0.547033333,-0.423333333
423,123,-0.008233333,-0.547033333
423,124,-0.00333333299999999,-0.203333333
423,127,-0.006666667,-0.00333333299999999
424,52,0.236666667,0.986666667
424,111,NA,NA
424,112,NA,NA
424,122,NA,NA
424,123,NA,NA
424,146,NA,NA
424,147,NA,NA
426,69,-0.296666667,-0.486666667
426,70,0.75,-0.726666667000001
426,75,0.306666667,1.2
426,76,-1.053333333,1.173333333
426,94,0.5,0.656666667
426,95,0.616666667,0.886666667
426,97,0.803333333,0.5
426,98,0.536666667,0.616666667
426,107,-2.333333333,-2.626666667
426,108,-1.486666667,-3.013333333
428,49,0.486666667,-0.356666667
428,52,1.346666667,0.486666667
428,94,0.27,0.0566666670000002
428,95,0.526666667,0.226666667
428,105,-3.373333333,-0.326666667
428,106,-2.886666667,-1.668
428,108,-1.276666667,-3.373333333
428,109,-2.056666667,-2.886666667
428,114,-0.133333333,-0.093333333
428,115,-0.583333333,-0.073333333
428,129,-0.126666667,-0.176666667
428,130,-0.033333333,-0.186666667
429,55,-1.58,2.026666667
429,56,-0.66,1.596666667
429,60,-0.130000000000001,-0.350000000000001
429,61,-0.0933333329999995,-0.253333333
429,74,0.476666667,0.583333333
429,75,-0.313333333,1.05
429,97,0.773333333,0.9
429,98,0.486666667,0.666666667
429,104,-2.766666667,-0.163333333000001
429,105,-3.193333333,-0.526666667
429,108,-1.286666667,-3.193333333
429,134,-0.266,-0.170666667
429,135,-0.408666667,-0.176333333
429,138,-0.761333333,-0.408666667
429,143,0.181366667,-0.0820000000000001
429,146,0.54,0.181366667
431,42,-1.216666667,-0.76
431,45,-0.533333333,-1.216666667
431,54,-0.0333333330000007,1.88
431,55,-0.49,1.236666667
431,57,0.27,-0.0333333330000007
431,58,0.446666667,-0.49
431,66,-0.226666667,0.0899999999999999
431,67,-0.846666667,-0.346666667
431,70,1,-0.846666667
431,71,0.893333332999999,-0.683333333
431,74,1.286666667,0.893333332999999
431,75,0.216666667,1.02
431,83,-0.766666667,-1.43
431,84,-1.593333333,-0.986666667
431,86,-0.34,-0.766666667
431,87,-0.853333333,-1.593333333
431,90,0.316666667,-0.853333333
431,91,0.976666667,-0.543333333
431,102,-0.336666666999999,0.343333333
431,103,-1.55,0.223333333
431,121,NA,-0.526666667
433,74,1.066666667,0.793333333
433,75,0.216666667,1.32
433,103,-1.42,0.0833333329999997
433,113,-0.513333333,-0.193333333
434,43,-1.73,-2.006666667
434,44,-1.84,-2.32
434,50,0.676666667,-0.94
434,53,-0.00333333299999961,0.676666667
437,43,-1.73,-2.106666667
437,46,-0.496666667,-1.73
437,52,0.936666667,-0.0133333329999998
439,57,-0.58,-1.133333333
439,58,-0.153333333,-1.74
439,68,-1.193333333,-0.273333333
439,69,-1.146666667,-0.676666667
439,71,0.543333333,-1.193333333
439,72,0.819999999999999,-1.146666667
439,74,0.766666667,0.543333333
439,79,-2.993333333,-1.983333333
439,81,-1.386666667,-3.33
439,84,-1.443333333,-1.386666667
442,63,0.0199999999999996,0.489999999999999
442,66,-0.246666667,0.0199999999999996
446,51,1.58,-0.056666667
446,67,-0.746666667,-0.446666667
446,68,-0.693333333,-0.123333333
446,76,-1.883333333,0.813333332999999
446,77,-2.74,0.816666667
446,82,-1.056666667,-2.393333333
446,83,-1.366666667,-2.08
446,91,0.906666667,-0.483333333
446,92,0.536666667,-0.0233333330000001
446,146,0.33,0.046466667
446,147,0.276666667,-0.0149999999999999
448,88,-0.483333333,-1.46
448,89,0.026666667,-1.27
450,52,1.186666667,0.436666667
450,55,-1.19,1.186666667
451,55,-0.86,1.736666667
451,56,-1.07,0.796666667
451,60,0.46,-0.98
451,61,0.0466666670000002,-0.00333333299999961
452,62,NA,0.876666667
452,63,0.29,NA
456,66,-0.776666667,NA
456,67,-1.246666667,NA
456,84,NA,NA
456,85,NA,NA
456,87,-0.233333333,NA
456,88,0.016666667,NA
456,90,0.486666667,-0.233333333
456,91,1.006666667,0.016666667
456,118,-0.076666667,0.086666667
456,119,-0.236666667,0.026666667
456,121,-0.013333333,-0.076666667
456,122,NA,-0.236666667
456,125,0.05,NA
456,149,-0.475,0.0150000000000001
458,59,-0.523333333,-1.22
458,62,-0.703333333,-0.523333333
458,69,-1.046666667,-1.476666667
458,70,-0.0999999999999996,-1.246666667
458,74,0.016666667,-0.206666667
462,64,-0.586666666999999,-0.373333333
462,65,-0.423333333,-0.373333333
462,70,0.81,-0.366666667000001
462,71,0.663333333,-0.443333333
463,90,0.036666667,-0.483333333
463,91,0.506666667,-0.633333333
463,120,-0.683333333,-0.553333333
463,121,-0.113333333,-0.176666667
463,124,-0.113333333,-0.113333333
463,125,-0.15,0.023333333
463,140,-0.21,-0.747133333
463,141,0.1634,-0.098733333
464,66,-0.676666667,-0.71
464,75,0.316666667,0.819999999999999
465,69,-0.296666667,0.323333333
465,72,1.02,-0.296666667
465,78,-2.63,0.016666667
465,79,-2.593333333,-1.283333333
465,83,-1.416666667,-2.53
465,84,-1.243333333,-1.786666667
466,73,0.713333333,-0.0999999999999996
466,74,0.366666667,0.443333333
469,69,-0.546666667,-0.276666667
469,70,0,-0.826666667
470,69,-0.646666667,-1.076666667
470,70,0.27,-0.746666667
470,72,0.92,-0.646666667
470,73,0.913333333,0.27
472,79,-3.043333333,-1.203333333
472,80,-2.35,-2.07
472,82,-0.936666667,-3.043333333
472,95,0.102666667,-0.443333333
472,120,-0.490333333,-0.113333333
472,121,-0.063333333,-0.154466667
472,125,-0.04,0.063333333
472,126,-0.066666667,0.076666667
472,145,0.27,-0.393333333
472,146,0.21,-0.283333333
475,71,0.363333333,-0.843333333
475,72,0.819999999999999,-0.646666667
475,76,-1.703333333,0.713333333
475,77,-1.84,0.816666667
481,62,-0.503333333,0.176666667
481,63,-0.41,-0.11
483,68,-1.243333333,-0.273333333
483,69,-0.496666667,-0.826666667
483,71,0.593333332999999,-1.243333333
483,79,-1.843333333,-1.683333333
483,81,-0.786666667,-3.08
483,84,-0.793333333,-0.786666667
483,87,-0.783333333,-0.793333333
483,88,-0.493333333,-0.41
483,91,0.446666667,-0.493333333
483,92,0.726666667,-0.333333333
484,59,-0.223333333,-0.32
484,62,-0.353333333,-0.223333333
484,63,-0.26,-0.140000000000001
484,79,-3.703333333,-0.783333333
484,80,-3.42,NA
484,83,-0.586666667,-3.42
484,84,-0.963333333,-2.086666667
484,87,-0.663333333,-0.963333333
484,88,-0.423333333,-1.2
484,93,1.263333333,0.086666667
484,94,1.06,1.036666667
484,97,1.153333333,1.06
484,98,1.156666667,1.276666667
484,114,-0.243333333,-0.693333333
484,115,-0.263333333,-0.643333333
484,123,-0.013333333,-0.483333333
484,124,-0.013333333,-0.413333333
484,131,-0.106666667,-0.063333333
484,132,-0.043333333,-0.086666667
484,136,0.036666667,-0.06
484,137,0.056666667,0.01
485,70,0.9,-0.246666667
485,86,-0.07,0.583333333
485,87,-0.083333333,-1.593333333
486,64,-0.496666667,-0.553333332999999
486,67,-1.046666667,-0.496666667
488,69,-0.646666667,-0.776666667
488,74,0.516666667,0.543333333
497,73,0.823333333,0.600000000000001
497,82,NA,-2.893333333
497,85,-1.24,NA
497,97,0.337333333,0.697
497,98,0.136666667,0.425666667
498,85,-1.26,-0.506666667
498,86,-0.52,-1.066666667
498,89,NA,-0.52
498,90,NA,-0.683333333
498,92,NA,NA
498,93,NA,NA
498,107,-0.603333333,-1.706666667
499,77,-2.54,0.716666667
499,78,-3.33,-0.233333333
500,83,-1.226666667,-2.31
500,84,-1.343333333,-1.536666667
502,76,-1.183333333,1.313333333
502,77,-2.54,NA
502,83,-1.266666667,-1.98
502,84,-1.543333333,-1.686666667
502,87,-1.083333333,-1.543333333
504,77,NA,1.116666667
504,78,NA,NA
504,84,NA,NA
504,85,NA,NA
504,105,-3.193333333,-1.039366667
504,106,-1.576666667,-1.4527
506,82,-0.756666667,-2.593333333
506,104,-2.846666667,-0.443333333
506,105,-3.293333333,-0.196666667
506,111,-0.173333333,-1.079366667
506,114,-0.493333333,-0.173333333
506,115,-0.773333333,-0.293333333
506,118,-0.276666667,-0.773333333
506,119,-0.416566667,-1.153333333
506,122,0.040533333,-0.416566667
506,123,0.026666667,-0.393333333
506,126,-0.076666667,0.026666667
506,127,-0.018866667,-0.00613333299999999
506,145,0.3349,0.317666667
507,79,-3.693333333,-1.683333333
507,80,-3.35,-2.14
507,97,0.369333333,0.177
507,100,0.00333333299999961,0.369333333
507,110,-0.843333333,-2.103333333
507,111,-0.393333333,-1.476666667
507,114,-0.135033333,-0.393333333
507,115,-0.213333333,-0.476633333
507,133,-0.18,-0.033333333
507,134,-0.335,-0.076666667
507,138,-0.383333333,-0.426666667
507,139,-0.0817000000000001,-0.163333333
507,144,0.11,0.015
507,145,0.4233,0.036666667
508,88,NA,-1.62
508,93,0.576333333,-0.0733333330000001
508,110,-0.953133333,-1.858933333
508,111,-0.559133333,-2.175266667
508,114,-0.358933333,-0.559133333
508,115,-0.577433333,-0.570533333
508,122,-0.106766667,-0.254466667
508,123,0.006666667,-0.728333333
508,131,-0.056666667,-0.033333333
508,135,-0.576666667,-0.053333333
508,138,-0.455033333,-0.576666667
510,79,-2.393333333,-1.183333333
510,80,-2.28,-1.34
510,83,-1.666666667,-2.28
510,84,-2.643333333,-2.286666667
510,86,-2.57,-1.666666667
510,87,-1.783333333,-2.643333333
510,89,-1.423333333,-2.57
512,95,0.076666667,0.536666667
512,96,0.593333333,1.013333333
512,127,-0.166666667,-0.00333333299999999
512,139,0.18,0.036666667
512,142,0.536666667,0.18
516,90,0.136666667,-0.933333333
516,91,0.156666667,-0.123333333
516,93,-0.186666667,0.136666667
516,94,-0.19,0.156666667
516,118,-0.176666667,-0.063333333
516,119,-0.186666667,-0.173333333
518,88,-0.763333333,-0.64
518,89,0.056666667,-0.47
518,103,-0.9815,0.102333333
518,104,-2.374466667,-0.0983333330000002
518,109,-2.426666667,-2.404866667
518,110,-1.203133333,-1.971333333
518,132,-0.044233333,-0.016666667
518,133,-0.1106,-0.027633333
519,103,-1.55,0.303333333
519,104,-2.696666667,-0.283333333
520,91,0.806666667,-1.533333333
520,92,0.436666667,-0.323333333
520,97,0.603333333,0.36
520,98,0.706666666999999,-0.0733333329999999
520,100,-0.116666667,0.603333333
520,101,-0.263333333,0.706666666999999
520,106,-2.406666667,-1.51
520,107,-2.203333333,-2.856666667
521,90,0.536666667,NA
521,91,1.006666667,NA
523,90,NA,-1.283333333
523,141,-0.32,0.216666667
523,143,0.367666667,-1.52
524,90,-0.813333333,-1.083333333
524,99,0.540333333,0.653333333
524,100,0.153333333,0.403333333
524,110,-0.357733333,-1.933333333
524,111,-0.143333333,-1.442866667
524,118,-0.956666667,-0.503333333
524,119,-0.946666667,-0.703333333
526,92,0.762666667,-0.0533333329999999
526,93,0.760333333,0.306666667
526,111,-0.002133333,-0.977666667
526,112,-0.330033333,-0.932666667
526,122,-0.036766667,-0.126666667
526,130,-0.112333333,-0.095666667
526,133,-0.426,-0.112333333
527,109,-2.176666667,-2.006666667
527,110,-1.193333333,-1.253333333
527,112,-0.093333333,-2.176666667
527,113,-0.083333333,-1.193333333
527,130,-0.053333333,-0.016666667
527,131,-0.106666667,-0.033333333
527,133,-0.38,-0.053333333
527,134,-0.29,-0.106666667
527,139,-0.32,-0.313333333
527,142,0.236666667,-0.32
528,141,0.615,-0.818333333
532,139,0.03,-0.213333333
532,142,0.436666667,0.03
532,143,NA,-0.31
533,101,0.336666666999999,0.656666667
533,137,-0.593333333,-0.21
535,115,-2.613333333,-0.493333333
535,116,-0.673333333,-0.603333333
535,122,0.063333333,-0.586666667
535,123,0.056666667,-1.633333333
535,127,-0.026666667,-0.013333333
535,128,-0.043333333,-0.1
535,130,-0.063333333,-0.026666667
535,131,-0.076666667,-0.043333333
535,136,-0.673333333,-0.28
535,137,-1.143333333,-0.69
538,100,-0.466666667,-0.246666667
539,106,-3.006666667,-2.31
539,107,-1.703333333,-3.356666667
541,107,NA,-3.206666667
541,108,NA,-3.723333333
541,111,NA,NA
541,112,NA,NA
541,114,-0.043333333,NA
541,115,-0.063333333,NA
541,118,-0.136666667,-0.063333333
542,102,-1.263566667,0.369333333
542,103,-2.08,-0.296666667
542,118,-0.126666667,-0.563333333
542,119,-0.136666667,-0.873333333
542,143,NA,NA
542,146,NA,NA
544,108,-1.636666667,-3.323333333
544,111,-0.313333333,-1.636666667
546,114,-0.843333333,-0.343333333
546,115,-0.813333333,-0.493333333
546,120,-0.933333333,-0.103333333
546,121,-0.013333333,-0.126666667
548,114,-0.541033333,NA
548,115,-1.510933333,-0.297633333
548,118,-0.300666667,-1.510933333
548,119,-0.335766667,-1.586633333
548,122,0.020633333,-0.335766667
548,123,0.043866667,-0.661133333
553,114,-0.343333333,-0.243333333
553,115,-0.663333333,-0.393333333
553,122,0.043333333,-0.126666667
553,123,0.076666667,-0.183333333
553,137,-0.453333333,-0.46
553,138,-0.603333333,-0.676666667
553,145,0.44,0.206666667
553,146,0.37,0.106666667
555,125,-0.15,-0.046666667
555,126,-0.166666667,-0.063333333
555,133,-0.54,-0.123333333
555,134,-0.76,-0.176666667
557,118,-0.272166667,-0.049933333
557,119,-0.319666667,-0.453333333
558,115,-0.128833333,-0.264533333
559,123,0.036666667,-0.933333333
559,140,-0.19,-0.503333333
559,141,0.16,-0.453333333
559,144,0.24,0.16
559,147,0.296666667,0.24
559,149,-0.3,0.7
560,129,-0.126666667,-0.066666667
560,137,-0.093333333,NA
568,130,-0.023333333,-0.036666667
568,131,-0.026666667,-0.053333333
569,126,-0.066666667,-0.113333333
569,127,-0.036666667,-0.113333333
569,130,-0.073333333,-0.036666667
569,133,-0.58,-0.073333333
572,130,-0.033333333,-0.046666667
577,139,-0.37,0.256666667
577,140,-0.04,0.216666667
577,142,0.636666667,-0.37
577,143,-0.123333333,-0.04
577,145,0.21,0.636666667
578,146,0.4767,-0.0733333330000001
578,147,0.203366667,0.1967
9,5,-0.603333333,-1.083333333
9,6,1.14,-3.093333333
